EstablishmentID,InspectionID,EstablishmentName,PlaceName,Address,Address2,City,State,Zip,TypeDescription,Latitude,Longitude,InspectionDate,Score,Grade,NameSearch,Intersection
76230,1403593,CHILI'S,,11600 ANTONIA WAY,,LOUISVILLE,KY,40229,FOOD SERVICE,38.946,-85.6708,7/28/18 0:00,,,CHILI'S,
99318,1411167,SHIRAZ MEDITERRANEAN GRILL,,4614 CHAMBERLAIN LN,,LOUISVILLE,KY,40241,FOOD SERVICE,38.3109,-85.5667,9/4/18 0:00,,,SHIRAZ MEDITERRANEAN GRILL,
99018,1419070,PANERA BREAD #1891,,4923 OUTER LOOP,,LOUISVILLE,KY,40219,FOOD SERVICE,38.1379,-85.6663,9/24/18 0:00,,,PANERA BREAD #1891,
77070,1419111,PENN STATION,,2204 HEATHER LN,,LOUISVILLE,KY,40218,FOOD SERVICE,38.2059,-85.6658,9/28/18 0:00,,,PENN STATION,
106425,1428678,ROUND 1 BOWLING and AMUSEMENTS,,4801 OUTER LOOP,,LOUISVILLE,KY,40219,FOOD SERVICE,38.1414,-85.6705,11/13/18 0:00,100,,ROUND 1 BOWLING and AMUSEMENTS,
44344,1432506,SUB STATION II,,3101 FERN VALLEY RD,,LOUISVILLE,KY,40213,FOOD SERVICE,38.1574,-85.7076,11/7/18 0:00,97,,SUB STATION II,
90238,1432513,CHINA GARDEN,,7309 PRESTON HWY,,LOUISVILLE,KY,40219,FOOD SERVICE,38.1461,-85.6901,11/8/18 0:00,93,,CHINA GARDEN,
88048,1436260,PONDEROSA,,11470 PRESTON HWY,,LOUISVILLE,KY,40229,FOOD SERVICE,38.83,-85.6674,12/12/18 0:00,,,PONDEROSA,
94341,1436269,JEWISH HOSPITAL MAIN KITCHEN,,200 ABRAHAM FLEXNER WAY,,LOUISVILLE,KY,40202,FOOD SERVICE,38.2494,-85.7518,12/12/18 0:00,,,JEWISH HOSPITAL MAIN KITCHEN,
90708,1436270,SUBWAY,,2716 W BROADWAY,,LOUISVILLE,KY,40211,FOOD SERVICE,38.2495,-85.7977,12/12/18 0:00,,,SUBWAY,
100267,1396414,ARNO PIZZA,,3933 BARDSTOWN RD,,LOUISVILLE,KY,40218,FOOD SERVICE,38.1948,-85.6513,6/7/18 0:00,93,,ARNO PIZZA,
32733,1400239,WHITE CASTLE #10,,793 EASTERN PKWY,,LOUISVILLE,KY,40217,FOOD SERVICE,38.215,-85.743,7/3/18 0:00,,,WHITE CASTLE #10,
34380,1400347,DOMINO'S PIZZA #1427,,8404 PRESTON HWY,,LOUISVILLE,KY,40219,FOOD SERVICE,38.1303,-85.6827,7/5/18 0:00,,,DOMINO'S PIZZA #1427,
57012,1403778,MOBY DICK,,8702 NATIONAL TURNPIKE,,FAIRDALE,KY,40118,FOOD SERVICE,38.1232,0,8/2/18 0:00,,,MOBY DICK,
105814,1403918,PINE ROOM,,6325 RIVER RD,,PROSPECT,KY,40059,FOOD SERVICE,38.3275,-85.6341,8/7/18 0:00,100,,PINE ROOM,
105892,1407764,KY PORK PRODUCERS FH4,,937 PHILLIPS LN,,LOUISVILLE,KY,40209,FOOD SERVICE,38.1991,-85.7415,8/9/18 0:00,96,,KY PORK PRODUCERS FH4,
105888,1407783,KICC MOBILE 12,,221 S 4TH ST,,LOUISVILLE,KY,40202,FOOD SERVICE,38.2542,-85.7548,8/1/18 0:00,100,,KICC MOBILE 12,
